ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
-0.081,-0.055,1.036,5.665,0.479,0.822,1
-0.081,-0.047,1.001,3.221,3.141,3.827,1
-0.083,-0.021,0.964,-7.430,-0.492,2.549,1
-0.069,-0.037,0.963,-2.681,-0.636,0.200,1
-0.065,-0.050,0.921,-5.475,-2.002,-1.458,1
-0.082,-0.008,0.973,-3.729,-8.404,0.994,1
-0.316,-0.029,-1.460,100.543,-457.336,-81.523,2
-1.355,-0.629,-1.211,91.813,-696.872,-93.128,2
-2.316,0.334,-0.421,-57.785,-760.208,-101.141,2
-2.712,-0.482,0.941,-299.852,-773.372,-112.263,2
-2.896,-1.308,3.652,-80.763,-665.365,42.684,2
-1.764,0.613,1.650,54.833,-253.263,74.634,2
-1.339,0.332,0.722,-19.792,-236.719,-19.523,2
-1.174,0.017,0.224,-67.179,-183.129,-66.290,2
-1.214,-0.161,0.633,-19.093,-153.744,-56.135,2
-1.131,-0.343,0.746,-30.687,-92.673,-41.698,2
-1.008,-0.191,0.455,-33.795,-32.178,-36.551,2
-0.873,-0.164,0.092,-43.573,-6.031,-21.802,2
-0.780,0.006,-0.122,-17.767,-7.973,-14.791,2
-0.715,-0.059,-0.196,9.157,-9.951,-15.309,2
-0.748,-0.150,0.008,5.909,-23.007,-0.422,2
-0.834,-0.120,0.238,-2.192,-15.382,3.792,2
-0.880,-0.122,0.210,-0.760,1.702,9.284,2
-0.866,-0.050,0.023,-2.471,3.393,10.527,2
-0.863,-0.111,-0.117,4.303,0.192,9.353,2
-0.899,-0.148,-0.069,19.668,-14.663,9.526,2
-0.957,-0.162,0.083,11.287,-16.317,6.935,2
-1.017,-0.208,0.201,0.043,-5.491,4.794,2
-1.049,-0.186,0.155,-0.097,7.924,8.420,2
-1.033,-0.175,0.039,2.732,12.996,8.455,2
-0.988,-0.219,-0.189,14.360,-4.628,14.914,2
-1.046,-0.021,0.002,13.173,-9.375,16.468,2
-1.116,-0.032,0.136,6.573,-1.535,5.554,2
-1.152,-0.171,0.264,-4.392,10.334,-2.840,2
-1.110,-0.209,0.258,-3.484,35.403,-1.147,2
-1.064,-0.126,0.113,2.103,44.430,4.863,2
-0.998,-0.157,0.057,-0.621,42.991,2.928,2
-0.985,-0.136,0.040,-3.938,41.877,0.683,2
-0.951,-0.158,0.067,-11.725,41.805,-0.836,2
-0.969,-0.204,0.231,-14.903,39.754,-1.734,2
-0.995,-0.190,0.303,-19.582,57.198,-1.113,2
-0.974,-0.089,0.114,-21.084,69.678,-5.776,2
-0.915,-0.182,-0.006,-19.024,47.703,-10.300,2
-0.931,-0.184,0.050,-10.294,26.303,-11.026,2
-1.027,-0.319,0.394,-9.071,26.303,-0.629,2
-1.061,-0.110,0.471,-2.227,50.401,11.874,2
-1.056,0.117,0.349,-12.459,68.528,-0.284,2
-0.955,-0.092,0.015,-29.814,69.643,-25.256,2
-0.891,-0.204,0.040,-13.401,55.076,-18.176,2
-0.933,-0.152,0.287,-0.481,41.121,-9.610,2
-1.004,-0.081,0.579,6.398,58.097,-4.981,2
-1.015,-0.018,0.533,2.417,84.784,-13.236,2
-0.932,-0.097,0.285,-14.694,99.710,-20.283,2
-0.871,-0.240,0.090,-7.500,87.014,-6.881,2
-0.859,-0.125,0.060,-2.751,65.075,3.481,2
-0.909,-0.041,0.328,-14.100,39.862,0.580,2
-0.958,-0.048,0.633,-23.284,46.049,-7.054,2
-0.964,-0.075,0.627,-30.617,67.592,-13.927,2
-0.922,-0.149,0.518,-20.595,87.482,-13.927,2
-0.855,-0.102,0.315,-5.998,92.337,-11.613,2
-0.827,-0.159,0.353,-0.551,74.318,-4.221,2
-0.885,0.060,0.595,5.909,70.721,4.897,2
-0.917,0.060,0.741,3.675,80.360,-8.090,2
-0.869,-0.149,0.608,-4.776,96.797,-15.585,2
-0.772,-0.157,0.347,-13.471,95.646,-6.743,2
-0.713,-0.123,0.315,-5.510,65.327,3.136,2
-0.753,-0.046,0.574,-8.408,53.961,1.547,2
-0.815,0.005,0.823,-12.040,59.428,-2.874,2
-0.825,0.007,0.808,-11.830,78.023,-6.225,2
-0.749,-0.119,0.623,-7.186,85.576,-9.713,2
-0.725,-0.086,0.485,4.163,77.627,-2.563,2
-0.719,-0.063,0.569,5.211,60.147,-1.355,2
-0.758,-0.033,0.784,8.459,58.061,-2.011,2
-0.769,-0.004,0.884,-1.878,67.413,-8.194,2
-0.707,-0.145,0.758,-8.652,73.023,-10.404,2
-0.662,-0.067,0.640,4.513,71.369,-1.355,2
-0.620,0.005,0.635,15.547,60.831,-0.491,2
-0.627,0.011,0.735,16.141,53.566,-2.322,2
-0.636,0.084,0.840,-0.970,51.084,-13.029,2
-0.631,-0.126,0.925,-3.694,61.586,-16.725,2
-0.591,-0.127,0.840,7.167,71.225,-7.192,2
-0.574,-0.070,0.750,22.252,73.023,2.514,2
-0.564,0.073,0.775,9.925,61.478,3.792,2
-0.566,0.037,0.868,11.986,62.162,-3.185,2
-0.538,-0.062,0.904,-2.821,66.226,-15.723,2
-0.495,-0.178,0.874,1.998,69.103,-12.960,2
-0.446,-0.136,0.789,8.773,66.873,-1.044,2
-0.422,-0.010,0.686,9.716,55.795,4.103,2
-0.413,0.054,0.730,6.398,39.395,-4.809,2
-0.432,-0.048,0.940,-3.414,32.705,-10.957,2
-0.450,-0.086,0.985,-0.725,43.243,-7.468,2
-0.419,-0.083,0.850,3.675,45.437,-4.532,2
-0.384,-0.071,0.767,4.862,35.834,-0.871,2
-0.387,-0.038,0.829,-2.122,22.095,-2.874,2
-0.394,-0.063,0.943,-1.773,18.750,-0.629,2
-0.416,-0.040,0.954,10.414,21.807,3.067,2
-0.453,0.129,0.984,3.640,23.426,-1.044,2
-0.438,-0.111,1.071,3.046,37.309,-5.707,2
-0.405,-0.127,1.007,19.878,47.487,3.550,2
-0.410,0.042,0.870,28.852,45.078,7.557,2
-0.364,0.038,0.866,3.500,34.755,-13.513,2
-0.329,-0.076,0.906,-2.856,33.352,-9.990,2
-0.304,-0.122,0.918,4.967,30.763,-7.710,2
-0.269,-0.078,0.802,22.252,26.267,0.545,2
-0.295,0.098,0.799,17.538,9.219,-1.527,2
-0.326,-0.132,1.073,-8.198,2.637,-19.212,2
-0.344,-0.276,1.128,6.852,16.988,-8.504,2
-0.339,-0.194,1.051,13.627,35.115,3.965,2
-0.299,-0.005,0.814,8.668,31.446,8.179,2
-0.286,-0.055,0.896,-0.725,18.355,-2.011,2
-0.293,-0.066,0.953,-5.090,12.456,-3.461,2
-0.307,-0.029,0.970,-2.611,18.067,-5.327,2
-0.275,-0.090,0.907,11.706,20.369,-1.251,2
-0.227,-0.059,0.762,21.938,13.535,4.725,2
-0.253,-0.034,0.846,23.020,-4.736,2.376,2
-0.319,-0.117,1.122,5.665,-1.499,0.338,2
-0.316,-0.171,1.140,-4.078,15.981,-2.391,2
-0.281,-0.174,0.959,8.249,27.382,2.203,2
-0.179,-0.123,0.835,9.960,21.268,5.484,2
-0.248,0.008,0.888,7.621,10.910,3.308,2
-0.273,-0.089,1.029,5.630,5.155,-4.118,2
-0.307,-0.148,1.155,7.935,15.190,-0.975,2
-0.311,-0.121,1.141,-6.836,30.871,-0.491,2
-0.255,-0.088,0.982,-0.830,40.258,1.581,2
-0.180,-0.055,0.803,3.011,29.288,1.892,2
-0.154,-0.059,0.793,-7.709,13.895,-2.736,2
-0.194,-0.138,1.003,-9.735,2.278,-5.914,2
-0.232,-0.185,1.119,-5.824,17.347,0.442,2
-0.216,-0.128,1.040,-0.271,28.533,8.559,2
-0.190,-0.013,0.883,3.605,27.562,5.864,2
-0.161,-0.014,0.829,-8.897,18.175,1.892,2
-0.167,-0.054,0.954,-9.176,4.975,-1.769,2
-0.201,-0.062,1.065,-5.963,8.788,-2.391,2
-0.226,-0.084,1.124,-17.173,21.484,-5.707,2
-0.206,-0.172,1.112,-17.976,29.648,-4.705,2
-0.156,-0.149,0.946,-3.030,34.971,2.307,2
-0.126,-0.028,0.849,-0.586,27.994,3.965,2
-0.091,-0.064,0.844,-7.465,11.485,-0.387,2
-0.104,-0.077,0.882,-1.878,-1.607,1.789,2
-0.180,-0.111,1.132,-1.564,1.414,-0.836,2
