ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
0.204,-0.504,-0.883,223.113,25.404,-6.777,3
0.219,-0.488,-0.882,256.567,6.486,-16.863,3
0.169,-0.455,-0.723,271.408,18.067,-18.176,3
0.194,-0.419,-0.768,278.287,23.102,-12.615,3
0.162,-0.414,-0.879,274.132,39.539,-0.836,3
0.188,-0.163,-0.993,290.020,29.216,5.001,3
0.186,0.030,-1.038,258.906,22.095,-16.276,3
0.190,0.026,-1.007,238.304,10.082,-25.187,3
0.177,-0.027,-0.918,203.732,3.680,-26.016,3
0.151,-0.013,-0.860,184.666,17.312,-17.658,3
0.134,0.069,-0.906,185.539,23.066,-2.598,3
0.136,0.201,-0.938,192.139,19.577,-4.083,3
0.153,0.245,-0.946,215.047,17.060,-8.677,3
0.149,0.259,-0.869,225.278,14.003,-8.988,3
0.147,0.315,-0.723,208.936,13.931,-8.988,3
0.143,0.431,-0.887,150.374,28.353,-1.285,3
0.126,0.450,-0.938,159.035,21.951,-2.771,3
0.124,0.480,-0.832,188.158,13.895,-3.945,3
0.126,0.508,-0.732,206.386,26.411,-6.674,3
0.113,0.499,-0.734,208.063,21.124,-1.458,3
0.086,0.575,-0.774,195.177,25.728,8.766,3
0.087,0.619,-0.681,182.222,14.506,14.914,3
0.075,0.771,-0.707,147.825,19.577,20.579,3
0.064,0.861,-0.686,117.305,15.585,20.682,3
0.044,0.886,-0.674,96.423,12.888,18.886,3
0.031,0.911,-0.641,87.797,6.450,15.156,3
0.022,0.919,-0.616,79.591,6.917,14.154,3
0.027,0.934,-0.574,61.223,7.421,12.772,3
0.033,1.017,-0.595,51.830,9.543,14.638,3
0.036,0.915,-0.653,45.614,4.184,5.554,3
0.035,0.942,-0.626,29.201,-3.045,5.243,3
0.047,0.837,-0.511,18.760,-5.887,1.789,3
0.048,0.798,-0.446,14.814,1.594,8.144,3
0.045,0.801,-0.503,16.490,6.378,9.526,3
0.041,0.806,-0.529,18.760,9.435,12.772,3
0.025,0.876,-0.611,18.236,3.860,9.975,3
0.030,0.802,-0.592,15.897,-2.470,11.425,3
0.035,0.881,-0.492,12.649,-4.736,11.287,3
0.044,0.855,-0.431,12.230,1.990,8.179,3
0.028,0.899,-0.480,16.001,6.234,6.970,3
0.007,0.797,-0.572,19.319,5.371,5.554,3
0.014,0.894,-0.478,22.427,-1.966,14.430,3
0.021,0.970,-0.439,20.297,2.997,11.874,3
0.015,1.047,-0.488,14.360,7.565,5.864,3
0.003,0.928,-0.489,12.160,6.845,-3.911,3
-0.015,0.864,-0.525,3.744,2.134,-1.700,3
0.005,0.886,-0.489,-0.656,-0.672,2.583,3
0.008,0.917,-0.492,-7.081,0.875,2.030,3
0.010,0.952,-0.499,-10.957,-1.175,-0.387,3
0.011,0.910,-0.526,-16.824,0.479,-6.536,3
0.014,0.823,-0.582,-32.677,-4.628,-3.841,3
0.036,0.812,-0.549,-59.741,-12.181,8.455,3
0.057,0.905,-0.557,-122.003,-12.217,12.876,3
0.002,0.892,-0.623,-141.140,-12.037,12.807,3
0.012,0.935,-0.617,-158.984,-13.044,5.657,3
0.029,0.788,-0.614,-182.276,-7.289,4.794,3
0.003,0.683,-0.726,-206.580,-9.843,12.358,3
0.077,0.718,-0.659,-242.478,-1.859,22.306,3
0.043,0.714,-1.009,-326.566,0.731,18.299,3
-0.072,0.667,-0.915,-369.518,-18.295,7.522,3
0.034,0.330,-0.959,-327.404,-21.568,-2.184,3
0.016,0.271,-0.934,-340.639,-28.258,15.156,3
0.047,0.215,-0.926,-390.889,-24.266,12.496,3
0.054,0.076,-0.985,-413.867,-17.864,12.427,3
0.090,0.139,-1.083,-546.179,-8.261,12.047,3
0.013,-0.242,-0.852,-488.386,-27.682,-14.722,3
0.039,-0.394,-0.686,-436.251,-3.981,-1.734,3
0.025,-0.550,-0.759,-288.887,14.398,0.442,3
0.033,-0.503,-0.931,-229.278,15.010,18.333,3
0.033,-0.547,-0.931,-268.773,-1.823,5.243,3
0.039,-0.677,-0.755,-322.865,-16.425,2.963,3
0.063,-0.664,-0.651,-328.033,-15.634,4.897,3
