ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
-0.246,0.251,1.001,3.360,-13.008,-35.342,2
-0.259,0.438,0.982,12.509,-1.139,-41.836,2
-0.293,0.151,0.962,7.655,-2.506,-60.211,2
-0.291,-0.191,1.013,-4.043,2.206,-48.260,2
-0.254,0.343,1.083,-2.332,10.838,-11.648,2
-0.274,0.905,0.864,0.287,13.823,-53.130,2
-0.276,0.321,0.941,-0.132,0.515,-96.997,2
-0.251,-0.201,0.842,-0.935,-6.606,-70.435,2
-0.206,0.537,1.116,3.675,0.983,-46.015,2
-0.250,0.767,1.142,-0.097,24.289,-79.139,2
-0.316,0.849,0.616,35.068,34.036,-133.299,2
-0.288,-0.214,0.773,52.109,-41.673,-143.557,2
-0.180,0.198,0.920,60.734,-18.151,-94.268,2
-0.157,0.468,0.982,50.153,-17.288,-108.050,2
-0.138,1.082,1.183,36.325,24.757,-139.481,2
-0.191,0.794,0.772,37.442,58.673,-224.727,2
-0.477,-0.495,0.691,42.960,36.769,-272.323,2
-0.217,-1.296,0.728,34.963,-42.608,-141.934,2
0.009,0.078,1.207,37.687,-7.325,-48.018,2
0.055,0.818,1.026,16.036,23.929,-107.704,2
-0.141,0.849,1.166,-10.398,70.038,-173.780,2
-0.288,-0.360,0.025,-5.195,2.314,-252.670,2
-0.149,-1.107,1.292,16.700,-120.152,-66.325,2
-0.016,0.581,1.673,24.138,2.925,-9.955,2
-0.010,0.861,1.326,15.966,79.461,-74.062,2
-0.078,0.961,0.063,84.235,40.402,-146.113,2
-0.145,-0.798,0.924,34.614,-52.571,-214.641,2
-0.028,-0.468,0.852,47.884,-12.864,-53.200,2
0.006,0.524,1.188,30.808,-9.627,-62.698,2
-0.019,0.754,1.156,38.315,60.004,-95.235,2
-0.079,0.394,-0.005,77.251,5.479,-190.739,2
-0.054,-1.233,1.431,24.033,-56.851,-142.348,2
0.067,0.371,0.849,38.455,18.211,-48.537,2
0.079,0.213,1.142,19.947,14.146,-106.772,2
0.030,0.345,1.003,3.535,70.506,-103.248,2
0.012,0.428,0.579,5.036,52.127,-139.516,2
0.010,-0.403,0.532,-4.567,-23.330,-183.900,2
0.010,-1.291,1.178,-35.925,-63.109,-82.144,2
0.029,0.358,1.218,6.747,-35.415,29.075,2
0.041,0.565,1.404,24.976,-30.128,-65.220,2
0.041,-0.121,1.102,28.992,15.441,-87.256,2
0.062,0.128,0.986,15.233,5.047,-56.343,2
0.050,0.059,1.052,-14.868,4.400,-85.598,2
0.034,-0.366,1.157,-35.995,-0.600,-65.427,2
0.048,0.134,1.318,-12.459,10.730,-23.529,2
0.057,0.125,0.992,17.887,37.920,-44.426,2
0.055,0.001,0.726,32.204,13.427,-42.734,2
0.074,0.233,0.925,39.328,-26.388,-36.344,2
0.095,-0.224,1.162,-1.144,-18.727,-64.391,2
0.084,-0.284,1.073,-16.719,16.772,-6.294,2
0.061,0.172,0.859,3.884,16.700,7.281,2
0.029,0.033,0.851,23.823,-13.044,-6.121,2
0.059,0.139,1.092,28.538,-16.065,1.961,2
0.042,0.063,0.991,6.887,6.126,-16.656,2
0.039,-0.153,0.965,-13.925,-2.686,-6.190,2
0.036,0.042,1.086,-19.163,3.357,11.874,2
0.052,0.058,1.003,-1.668,13.211,2.376,2
0.064,-0.011,0.960,12.160,4.184,3.032,2
0.053,0.070,0.989,14.639,2.170,5.657,2
0.067,0.108,0.933,8.913,0.012,-2.494,2
0.084,0.020,0.992,4.478,-3.153,-10.128,2
0.079,-0.132,1.025,5.316,-1.031,-5.430,2
0.085,-0.064,0.990,8.005,9.507,10.078,2
0.074,0.027,0.945,6.049,6.773,11.149,2
0.054,0.117,0.974,2.313,9.759,6.521,2
0.063,0.025,0.857,2.906,-8.872,-4.912,2
