ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
-0.092,0.980,0.292,85.458,10.262,4.103,2
-0.063,0.905,0.492,71.280,4.975,0.027,2
-0.072,0.868,0.336,79.975,10.370,-9.782,2
-0.069,0.798,0.408,47.395,-8.225,2.203,2
-0.061,0.875,0.496,45.963,-6.534,3.965,2
-0.071,1.003,0.627,152.225,13.391,-0.422,2
-0.087,0.832,0.531,177.019,12.852,-9.437,2
-0.062,0.782,0.461,105.851,4.579,-7.883,2
-0.061,0.770,0.719,59.617,0.371,-1.493,2
-0.062,0.759,0.594,128.479,11.305,-17.796,2
-0.046,0.776,0.590,85.143,1.199,-5.741,2
-0.041,0.707,0.656,28.154,-3.621,-1.320,2
-0.051,0.694,0.703,40.480,2.889,-0.387,2
-0.064,0.738,0.787,67.159,3.213,4.586,2
-0.063,0.720,0.670,84.096,5.227,2.756,2
-0.039,0.649,0.713,200.136,27.418,-1.044,2
-0.052,0.658,0.635,156.730,17.347,2.549,2
-0.041,0.583,0.735,99.810,3.069,-1.804,2
-0.035,0.558,0.790,63.912,-5.131,4.206,2
-0.062,0.575,1.023,105.851,-4.017,14.327,2
-0.053,0.551,0.897,119.435,4.472,10.424,2
-0.061,0.534,0.928,164.971,13.823,9.871,2
-0.040,0.462,0.788,173.492,16.053,8.559,2
-0.045,0.471,0.799,109.762,-0.024,1.374,2
-0.035,0.409,0.856,29.760,-13.152,-7.503,2
-0.043,0.311,1.030,43.134,-6.318,-6.777,2
-0.056,0.384,0.917,93.699,5.515,6.452,2
-0.101,0.366,1.078,121.356,2.853,3.999,2
-0.069,0.326,0.931,143.111,19.254,-3.047,2
-0.052,0.225,0.958,148.279,11.161,-2.391,2
-0.032,0.201,0.855,102.115,7.529,-2.253,2
-0.028,0.199,0.876,10.344,-8.620,-8.090,2
-0.055,0.073,1.205,83.153,1.199,5.243,2
-0.046,0.174,0.934,137.140,13.859,7.350,2
-0.025,0.214,0.869,177.472,-0.024,0.303,2
-0.005,0.030,0.972,138.082,-10.347,-6.881,2
-0.006,0.074,0.874,57.801,-7.289,-10.300,2
-0.035,-0.109,1.107,-18.186,-18.475,-18.279,2
-0.075,-0.038,1.087,36.919,-1.319,2.099,2
-0.065,-0.021,1.013,135.778,7.025,11.702,2
-0.061,-0.052,1.091,272.909,7.924,22.824,2
